"Phylum"	"Species"	"Habitat"	"AQP1.like"	"AQP3.like"	"AQP8.like"	"AQP11.like"
"Arthropoda"	"KHIB1"	"Terrestrial"	3	2	0	1
"Arthropoda"	"LCRY1"	"Freshwater"	3	1	0	1
"Arthropoda"	"LCYP1"	"Freshwater"	5	2	0	1
"Arthropoda"	"LDEL1"	"Terrestrial"	4	12	0	1
"Arthropoda"	"LDES1"	"Terrestrial"	3	2	0	1
"Arthropoda"	"LEPI1"	"Terrestrial"	5	0	0	2
"Arthropoda"	"LINC1"	"Marine"	2	0	0	0
"Arthropoda"	"LIPO1"	"Terrestrial"	6	1	0	0
"Arthropoda"	"LLUC1"	"Terrestrial"	6	0	0	1
"Arthropoda"	"LMIG1"	"Terrestrial"	4	0	0	1
"Arthropoda"	"LPOL1"	"Marine"	11	7	0	2
"Arthropoda"	"LTHA1"	"Terrestrial"	3	2	0	1
"Arthropoda"	"LYNC1"	"Freshwater"	1	2	0	1
"Arthropoda"	"MACR1"	"Freshwater"	1	5	0	0
"Arthropoda"	"MAME1"	"Terrestrial"	3	3	0	1
"Arthropoda"	"MENN1"	"Terrestrial"	1	1	0	1
"Arthropoda"	"MFUL1"	"Terrestrial"	2	3	0	0
"Arthropoda"	"MGAL1"	"Terrestrial"	8	0	0	1
"Arthropoda"	"MGER1"	"Terrestrial"	3	3	0	1
"Arthropoda"	"MGIG1"	"Terrestrial"	4	3	0	1
"Arthropoda"	"MGUI1"	"Terrestrial"	7	1	0	1
"Arthropoda"	"MGUT1"	"Terrestrial"	3	3	0	0
"Arthropoda"	"MHRA1"	"Terrestrial"	8	1	0	1
"Arthropoda"	"MLEI1"	"Terrestrial"	4	3	0	1
"Arthropoda"	"MNIP1"	"Freshwater"	2	2	0	1
"Arthropoda"	"MNOR1"	"Marine"	3	2	0	2
"Arthropoda"	"MOIN1"	"Brackish"	3	2	0	0
"Arthropoda"	"MWIL1"	"Brackish"	4	5	0	1
"Arthropoda"	"NADI1"	"Terrestrial"	8	1	0	1
"Arthropoda"	"NARA1"	"Terrestrial"	3	4	0	1
"Arthropoda"	"NBIP1"	"Marine"	2	1	0	1
"Arthropoda"	"NDEG1"	"Terrestrial"	3	0	0	1
"Arthropoda"	"NDUB1"	"Terrestrial"	4	5	0	1
"Arthropoda"	"NELO1"	"Terrestrial"	6	0	0	1
"Arthropoda"	"NFUL1"	"Terrestrial"	5	0	0	1
"Arthropoda"	"NGRA1"	"Terrestrial"	7	1	0	1
"Arthropoda"	"NICO1"	"Terrestrial"	5	4	0	0
"Arthropoda"	"NLUG1"	"Terrestrial"	7	0	0	1
"Arthropoda"	"NMOL1"	"Marine"	2	4	0	1
"Arthropoda"	"NOVA1"	"Terrestrial"	3	2	0	1
"Arthropoda"	"NPAL1"	"Terrestrial"	2	10	0	0
"Arthropoda"	"NVIT1"	"Terrestrial"	2	0	0	0
"Arthropoda"	"NYGR1"	"Marine"	2	1	0	1
"Arthropoda"	"OCHY1"	"Terrestrial"	4	3	0	0
"Arthropoda"	"OCIN1"	"Terrestrial"	8	1	0	2
"Arthropoda"	"OECO1"	"Terrestrial"	3	3	0	2
"Arthropoda"	"OJAP1"	"Terrestrial"	5	3	0	1
"Arthropoda"	"OPIL1"	"Freshwater"	2	6	0	1
"Arthropoda"	"OPOP1"	"Terrestrial"	4	2	0	0
"Arthropoda"	"OPSP1"	"Terrestrial"	0	3	0	0
"Arthropoda"	"ORAT1"	"Marine"	2	1	0	1
"Arthropoda"	"OROS1"	"Terrestrial"	3	4	0	0
"Arthropoda"	"ORSO1"	"Terrestrial"	5	3	0	1
"Arthropoda"	"ORUB1"	"Marine"	4	4	0	1
"Arthropoda"	"OTAU1"	"Terrestrial"	10	0	0	1
"Arthropoda"	"PALB1"	"Terrestrial"	4	4	0	1
"Arthropoda"	"PAME3"	"Terrestrial"	5	0	0	1
"Arthropoda"	"PAPA1"	"Terrestrial"	3	3	0	1
"Arthropoda"	"PAPE1"	"Terrestrial"	3	3	0	2
"Arthropoda"	"PAPL1"	"Brackish"	4	1	0	1
"Arthropoda"	"PARA1"	"Terrestrial"	3	4	0	1
"Arthropoda"	"PBAE1"	"Terrestrial"	4	3	0	0
"Arthropoda"	"PCIT1"	"Terrestrial"	1	5	0	1
"Arthropoda"	"PCOM1"	"Terrestrial"	3	3	0	1
"Arthropoda"	"PELL1"	"Terrestrial"	3	5	0	1
"Arthropoda"	"PEUR1"	"Terrestrial"	9	0	0	1
"Arthropoda"	"PFEM1"	"Marine"	2	2	0	1
"Arthropoda"	"PFLA1"	"Marine"	2	2	0	0
"Arthropoda"	"PGER1"	"Terrestrial"	3	1	0	1
"Arthropoda"	"PHUM1"	"Terrestrial"	4	1	0	1
"Arthropoda"	"PHUX1"	"Terrestrial"	2	1	0	1
"Arthropoda"	"PIMP1"	"Terrestrial"	2	3	0	1
"Arthropoda"	"PJAL1"	"Marine"	2	1	0	2
"Arthropoda"	"PLAG1"	"Terrestrial"	3	5	0	0
"Arthropoda"	"PLIT1"	"Marine"	1	2	0	1
"Arthropoda"	"PLON1"	"Terrestrial"	5	4	0	1
"Arthropoda"	"PMAN1"	"Terrestrial"	3	2	0	1
"Arthropoda"	"PMAR1"	"Terrestrial"	4	2	0	0
"Arthropoda"	"PMON2"	"Marine"	0	1	0	1
"Arthropoda"	"POGO1"	"Terrestrial"	7	1	0	1
"Arthropoda"	"POPI1"	"Terrestrial"	3	3	0	1
"Arthropoda"	"POTW1"	"Terrestrial"	1	1	0	1
"Arthropoda"	"PPEL1"	"Terrestrial"	1	10	0	1
"Arthropoda"	"PPOL2"	"Marine"	3	2	0	1
"Arthropoda"	"PPYR3"	"Terrestrial"	7	0	0	1
"Arthropoda"	"PROT2"	"Terrestrial"	3	4	0	1
"Arthropoda"	"PSCH1"	"Terrestrial"	3	1	0	1
"Arthropoda"	"PSEU1"	"Terrestrial"	3	3	0	1
"Arthropoda"	"PSIM1"	"Terrestrial"	9	0	0	1
"Arthropoda"	"PSIN1"	"Terrestrial"	2	3	0	0
"Arthropoda"	"PSSP1"	"Terrestrial"	3	7	0	1
"Arthropoda"	"PSUB1"	"Terrestrial"	4	3	0	1
"Arthropoda"	"PTEP1"	"Terrestrial"	5	5	0	1
"Arthropoda"	"PURU1"	"Freshwater"	3	2	0	1
"Arthropoda"	"PVAL1"	"Terrestrial"	4	2	0	2
"Arthropoda"	"PVAN1"	"Marine"	7	2	0	1
"Arthropoda"	"RATE1"	"Terrestrial"	2	4	0	0
"Arthropoda"	"RLON1"	"Terrestrial"	6	1	0	1
"Arthropoda"	"RMIN1"	"Terrestrial"	3	3	0	1
"Arthropoda"	"RPRO1"	"Terrestrial"	4	0	0	0
"Arthropoda"	"RROB1"	"Terrestrial"	1	8	0	1
"Arthropoda"	"RSAN1"	"Terrestrial"	3	6	0	1
"Arthropoda"	"SACU1"	"Terrestrial"	9	1	0	1
"Arthropoda"	"SAPI1"	"Terrestrial"	1	4	0	2
"Arthropoda"	"SBAH1"	"Terrestrial"	8	2	0	1
"Arthropoda"	"SBOY1"	"Terrestrial"	1	3	0	1
"Arthropoda"	"SCAP1"	"Terrestrial"	3	4	0	1
"Arthropoda"	"SCAR1"	"Terrestrial"	4	2	0	1
"Arthropoda"	"SCHE1"	"Marine"	2	3	0	1
"Arthropoda"	"SCIN1"	"Terrestrial"	13	1	0	1
"Arthropoda"	"SCOL3"	"Terrestrial"	7	0	0	1
"Arthropoda"	"SCOR1"	"Terrestrial"	3	4	0	0
"Arthropoda"	"SCRY1"	"Brackish"	2	1	0	1
"Arthropoda"	"SDON1"	"Terrestrial"	4	2	0	1
"Arthropoda"	"SDUM1"	"Terrestrial"	4	3	0	1
"Arthropoda"	"SEGE1"	"Terrestrial"	5	3	0	1
"Arthropoda"	"SFRU1"	"Terrestrial"	8	0	0	0
"Arthropoda"	"SLIN1"	"Terrestrial"	8	2	0	1
"Arthropoda"	"SLOB1"	"Terrestrial"	3	3	0	1
"Arthropoda"	"SLUC1"	"Terrestrial"	4	3	0	1
"Arthropoda"	"SMAG1"	"Terrestrial"	2	7	0	0
"Arthropoda"	"SMUC1"	"Brackish"	3	1	0	1
"Arthropoda"	"SOLP1"	"Terrestrial"	4	3	0	1
"Arthropoda"	"SPOR1"	"Terrestrial"	5	4	0	1
"Arthropoda"	"SROV1"	"Terrestrial"	5	3	0	1
"Arthropoda"	"SRUB1"	"Terrestrial"	10	1	0	1
"Arthropoda"	"SRUF1"	"Terrestrial"	2	2	0	0
"Arthropoda"	"SSCA1"	"Terrestrial"	2	3	0	1
"Arthropoda"	"SSEX1"	"Terrestrial"	3	1	0	1
"Arthropoda"	"SSTA1"	"Marine"	12	0	0	1
"Arthropoda"	"STER1"	"Marine"	7	1	0	2
"Arthropoda"	"STSP1"	"Terrestrial"	1	2	0	0
"Arthropoda"	"SVET1"	"Brackish"	2	4	0	1
"Arthropoda"	"SWEB1"	"Terrestrial"	6	0	0	1
"Arthropoda"	"SYMP1"	"Terrestrial"	7	4	0	1
"Arthropoda"	"TCAL1"	"Terrestrial"	7	1	0	1
"Arthropoda"	"TCAS1"	"Terrestrial"	5	0	0	1
"Arthropoda"	"TCIN1"	"Terrestrial"	1	7	0	1
"Arthropoda"	"TCOR1"	"Terrestrial"	4	1	0	1
"Arthropoda"	"TDOM1"	"Terrestrial"	7	3	0	1
"Arthropoda"	"TEJA1"	"Marine"	4	2	0	1
"Arthropoda"	"TGER1"	"Terrestrial"	4	1	0	1
"Arthropoda"	"TGIG1"	"Marine"	14	7	0	2
"Arthropoda"	"TGRA1"	"Brackish"	1	1	0	1
