"Phylum"	"Species"	"Habitat"	"AQP1-like"	"AQP3-like"	"AQP8-like"	"AQP11-like"
"Arthropoda"	"MWIL1"	"Aquatic"	4	5	0	1
"Arthropoda"	"NADI1"	"Terrestrial"	8	1	0	1
"Arthropoda"	"NARA1"	"Terrestrial"	3	4	0	1
"Arthropoda"	"NBIP1"	"Aquatic"	2	1	0	1
"Arthropoda"	"NDEG1"	"Terrestrial"	3	0	0	1
"Arthropoda"	"NDUB1"	"Terrestrial"	4	5	0	1
"Arthropoda"	"NELO1"	"Terrestrial"	6	0	0	1
"Arthropoda"	"NFUL1"	"Terrestrial"	5	0	0	1
"Arthropoda"	"NGRA1"	"Terrestrial"	7	1	0	1
"Arthropoda"	"NICO1"	"Terrestrial"	5	4	0	0
"Arthropoda"	"NLUG1"	"Terrestrial"	7	0	0	1
"Arthropoda"	"NMOL1"	"Aquatic"	2	4	0	1
"Arthropoda"	"NOVA1"	"Terrestrial"	3	2	0	1
"Arthropoda"	"NPAL1"	"Terrestrial"	2	10	0	0
"Arthropoda"	"NVIT1"	"Terrestrial"	2	0	0	0
"Arthropoda"	"NYGR1"	"Aquatic"	2	1	0	1
"Arthropoda"	"OCHY1"	"Terrestrial"	4	3	0	0
"Arthropoda"	"OCIN1"	"Terrestrial"	8	1	0	2
"Arthropoda"	"OECO1"	"Terrestrial"	3	3	0	2
"Arthropoda"	"OJAP1"	"Terrestrial"	5	3	0	1
"Arthropoda"	"OPIL1"	"Aquatic"	2	6	0	1
"Arthropoda"	"OPOP1"	"Terrestrial"	4	2	0	0
"Arthropoda"	"OPSP1"	"Terrestrial"	0	3	0	0
"Arthropoda"	"ORAT1"	"Aquatic"	2	1	0	1
"Arthropoda"	"OROS1"	"Terrestrial"	3	4	0	0
"Arthropoda"	"ORSO1"	"Terrestrial"	5	3	0	1
"Arthropoda"	"ORUB1"	"Aquatic"	4	4	0	1
"Arthropoda"	"OTAU1"	"Terrestrial"	10	0	0	1
"Arthropoda"	"PALB1"	"Terrestrial"	4	4	0	1
"Arthropoda"	"PAME3"	"Terrestrial"	5	0	0	1
"Arthropoda"	"PAPA1"	"Terrestrial"	3	3	0	1
"Arthropoda"	"PAPE1"	"Terrestrial"	3	3	0	2
"Arthropoda"	"PAPL1"	"Aquatic"	4	1	0	1
"Arthropoda"	"PARA1"	"Aquatic"	3	4	0	1
"Arthropoda"	"PBAE1"	"Terrestrial"	4	3	0	0
"Arthropoda"	"PCIT1"	"Terrestrial"	1	5	0	1
"Arthropoda"	"PCOM1"	"Terrestrial"	3	3	0	1
"Arthropoda"	"PELL1"	"Terrestrial"	3	5	0	1
"Arthropoda"	"PEUR1"	"Terrestrial"	9	0	0	1
"Arthropoda"	"PFEM1"	"Aquatic"	2	2	0	1
"Arthropoda"	"PFLA1"	"Aquatic"	2	2	0	0
"Arthropoda"	"PGER1"	"Terrestrial"	3	1	0	1
"Arthropoda"	"PHUM1"	"Terrestrial"	4	1	0	1
"Arthropoda"	"PHUX1"	"Terrestrial"	2	1	0	1
"Arthropoda"	"PIMP1"	"Terrestrial"	2	3	0	1
"Arthropoda"	"PJAL1"	"Aquatic"	2	1	0	2
"Arthropoda"	"PLAG1"	"Terrestrial"	3	5	0	0
"Arthropoda"	"PLIT1"	"Aquatic"	1	2	0	1
"Arthropoda"	"PLON1"	"Terrestrial"	5	4	0	1
"Arthropoda"	"PMAN1"	"Terrestrial"	3	2	0	1
"Arthropoda"	"PMAR1"	"Terrestrial"	4	2	0	0
"Arthropoda"	"PMON2"	"Aquatic"	0	1	0	1
"Arthropoda"	"POGO1"	"Terrestrial"	7	1	0	1
"Arthropoda"	"POPI1"	"Terrestrial"	3	3	0	1
"Arthropoda"	"POTW1"	"Terrestrial"	1	1	0	1
"Arthropoda"	"PPEL1"	"Terrestrial"	1	10	0	1
"Arthropoda"	"PPOL2"	"Aquatic"	3	2	0	1
"Arthropoda"	"PPYR3"	"Terrestrial"	7	0	0	1
"Arthropoda"	"PROT2"	"Terrestrial"	3	4	0	1
"Arthropoda"	"PSCH1"	"Terrestrial"	3	1	0	1
"Arthropoda"	"PSEU1"	"Terrestrial"	3	3	0	1
