"Phylum"	"Species"	"Habitat"	"AQP1-like"	"AQP3-like"	"AQP8-like"	"AQP11-like"
"Arthropoda"	"SCOR1"	"Non-marine"	3	4	0	0
"Arthropoda"	"SCRY1"	"Non-marine"	2	1	0	1
"Arthropoda"	"SDON1"	"Non-marine"	4	2	0	1
"Arthropoda"	"SDUM1"	"Non-marine"	4	3	0	1
"Arthropoda"	"SEGE1"	"Non-marine"	5	3	0	1
"Arthropoda"	"SFRU1"	"Non-marine"	8	0	0	0
"Arthropoda"	"SLIN1"	"Non-marine"	8	2	0	1
"Arthropoda"	"SLOB1"	"Non-marine"	3	3	0	1
"Arthropoda"	"SLUC1"	"Non-marine"	4	3	0	1
"Arthropoda"	"SMAG1"	"Non-marine"	2	7	0	0
"Arthropoda"	"SMUC1"	"Non-marine"	3	1	0	1
"Arthropoda"	"SOLP1"	"Non-marine"	4	3	0	1
"Arthropoda"	"SPOR1"	"Non-marine"	5	4	0	1
"Arthropoda"	"SROV1"	"Non-marine"	5	3	0	1
"Arthropoda"	"SRUB1"	"Non-marine"	10	1	0	1
"Arthropoda"	"SRUF1"	"Non-marine"	2	2	0	0
"Arthropoda"	"SSCA1"	"Non-marine"	2	3	0	1
"Arthropoda"	"SSEX1"	"Non-marine"	3	1	0	1
"Arthropoda"	"SSTA1"	"Marine"	12	0	0	1
"Arthropoda"	"STER1"	"Marine"	7	1	0	2
"Arthropoda"	"STSP1"	"Non-marine"	1	2	0	0
"Arthropoda"	"SVET1"	"Non-marine"	2	4	0	1
"Arthropoda"	"SWEB1"	"Non-marine"	6	0	0	1
"Arthropoda"	"SYMP1"	"Non-marine"	7	4	0	1
"Arthropoda"	"TCAL1"	"Non-marine"	7	1	0	1
"Arthropoda"	"TCAS1"	"Non-marine"	5	0	0	1
"Arthropoda"	"TCIN1"	"Non-marine"	1	7	0	1
"Arthropoda"	"TCOR1"	"Non-marine"	4	1	0	1
"Arthropoda"	"TDOM1"	"Non-marine"	7	3	0	1
"Arthropoda"	"TEJA1"	"Marine"	4	2	0	1
"Arthropoda"	"TGER1"	"Non-marine"	4	1	0	1
"Arthropoda"	"TGIG1"	"Marine"	14	7	0	2
"Arthropoda"	"TGRA1"	"Non-marine"	1	1	0	1
"Arthropoda"	"TGUL1"	"Non-marine"	3	2	0	1
"Arthropoda"	"THER1"	"Non-marine"	3	3	0	0
"Arthropoda"	"TICA2"	"Marine"	3	4	0	2
"Arthropoda"	"TJAP1"	"Marine"	3	3	0	0
"Arthropoda"	"TJAV1"	"Non-marine"	7	1	0	1
"Arthropoda"	"TMAR1"	"Non-marine"	1	3	0	0
"Arthropoda"	"TMER1"	"Non-marine"	2	3	0	2
"Arthropoda"	"TNEW1"	"Marine"	2	1	0	1
"Arthropoda"	"TORB1"	"Marine"	0	2	0	0
"Arthropoda"	"TPAL2"	"Non-marine"	8	0	0	1
"Arthropoda"	"TRAD1"	"Non-marine"	4	1	0	1
"Arthropoda"	"TRCA1"	"Non-marine"	6	0	0	1
"Arthropoda"	"TRLO1"	"Non-marine"	4	1	0	1
"Arthropoda"	"TSAV1"	"Non-marine"	1	3	0	1
"Arthropoda"	"TSPI1"	"Non-marine"	8	1	0	0
"Arthropoda"	"TSTE1"	"Non-marine"	4	3	0	0
"Arthropoda"	"TSUB1"	"Non-marine"	4	1	0	1
"Arthropoda"	"TTRI1"	"Marine"	13	5	0	1
"Arthropoda"	"TURT1"	"Non-marine"	1	6	0	1
"Arthropoda"	"UELO1"	"Non-marine"	4	2	0	0
"Arthropoda"	"UHUA1"	"Non-marine"	3	3	0	0
"Arthropoda"	"UMOR1"	"Non-marine"	2	2	0	0
"Arthropoda"	"VDES1"	"Non-marine"	2	2	0	0
"Arthropoda"	"VHIL1"	"Marine"	6	2	0	1
"Arthropoda"	"VJAC1"	"Non-marine"	1	3	0	1
"Arthropoda"	"VMEX1"	"Non-marine"	4	3	0	0
"Arthropoda"	"XTUL1"	"Non-marine"	4	1	0	2
"Arthropoda"	"XVES1"	"Non-marine"	3	0	0	0
"Arthropoda"	"ZCES1"	"Non-marine"	7	0	0	1
"Arthropoda"	"ZNEV1"	"Non-marine"	4	0	0	1
